rep	n	B	max_t_ms	status
1	3	16	193.767315	ok
1	3	32	323.861378	ok
1	3	64	648.645182	ok
1	3	128	1410.316279	ok
1	3	256	2788.644417	ok
1	3	512	5125.983031	ok
1	3	1024	10617.268313	ok
