rep	n	gates_total	max_t_ms	throughput_mul_s	status
1	3	500000	11098.677601	45050	ok
1	3	1000000	22496.828494	44450	ok
1	3	1500000	34387.372487	43620	ok
1	3	2000000	45459.499992	43995	ok
