rep	n	gates_total	max_t_ms	throughput_mul_s	status
1	3	1000000	14033.029588	71260	ok
1	4	1000000	20698.335964	48313	ok
1	5	1000000	26558.721347	37652	ok
1	6	1000000	33367.687299	29969	ok
