rep	n	gates_total	max_t_ms	throughput_mul_s	status
1	3	500000	11518.614116	43407	ok
1	3	1000000	21933.295784	45592	ok
1	3	1500000	31767.905202	47217	ok
1	3	2000000	41690.864626	47972	ok
